X,Y,Z,T
0.15150643,0.25094604,0.03295899,0.5625
0.30787182,0.16508483,0.06779099,0.5625
0.47350502,0.07644653,0.04480744,0.5625
0.01343346,0.30158996,0.02601624,0.5625
0.16876602,0.21633911,0.05654144,0.5625
0.33776665,0.12628173,0.0211525,0.5625
0.49566555,0.04008483,0.04059982,0.5625
0.02877236,0.26509094,0.03945541,0.59375
0.18701744,0.17889404,0.05348587,0.59375
0.35117149,0.09042358,0.04476547,0.59375
0.51809311,0.00125122,0.01628876,0.59375
0.05634022,0.23410034,0.02885056,0.59375
0.21871758,0.14656066,0.02146912,0.59375
0.37705135,0.05989074,0.04672241,0.59375
0.07105637,0.20210266,0.03007889,0.625
0.22902775,0.11587524,0.04668045,0.625
0.39495087,0.02671814,0.03041077,0.625
0.07805348,0.17021179,0.05920792,0.625
0.24490452,0.0813446,0.02566528,0.625
0.10241127,0.1388092,0.03130722,0.625
0.25806141,0.05334472,0.06084824,0.625
0.12163639,0.10655212,0.04266739,0.65625
0.28568936,0.01843261,0.02736664,0.65625
0.14399052,0.06913757,0.00472641,0.65625
0.01132202,0.11798095,0.01855087,0.65625
0.17405987,0.03031921,0.00947952,0.65625
0.04184628,0.08135986,0.01899719,0.6875
0.06216622,0.04421997,0.03751373,0.6875
1.36590195,1.50341796,0.20492935,60.28125
1.52838516,1.42962646,0.21760559,60.28125
1.31121063,1.49200439,0.21074295,60.28125
1.4776001,1.41722106,0.20270538,60.28125
1.26331902,1.48342895,0.19811249,60.3125
1.42997265,1.40852355,0.19018173,60.3125
1.2158289,1.47399902,0.18148041,60.3125
1.38003159,1.39976501,0.185009,60.3125
1.54904366,1.32388305,0.17366409,60.3125
1.16182423,1.46566772,0.19084931,60.3125
1.32872009,1.39073181,0.1795311,60.3125
1.48993302,1.31707763,0.20388794,60.3125
1.10963059,1.46238708,0.17159271,60.34375
1.28309536,1.38543701,0.13430405,60.34375
1.44996262,1.31037902,0.12710953,60.34375
1.05109024,1.4580841,0.19727707,60.34375
1.21776676,1.38323974,0.18655014,60.34375
1.387043,1.30735778,0.17194367,60.34375
0.99343395,1.45172119,0.19091034,60.375
1.15682125,1.37777709,0.19600678,60.375
1.32647801,1.30184936,0.17795181,60.375
1.48724556,1.22853088,0.19898224,60.375
0.93671227,1.44567871,0.19024658,60.375
1.10670185,1.36997985,0.16140747,60.375
1.27294445,1.29498291,0.16038132,60.375
1.43461037,1.22140502,0.17701721,60.375
0.87773419,1.4400177,0.18896103,60.375
1.04315567,1.3655548,0.18240357,60.375
1.21002865,1.29039001,0.1769104,60.375
1.37264156,1.21652221,0.18899918,60.375
1.53836823,1.14154052,0.19319916,60.375
0.6564312,1.50559997,0.18246842,60.40625
0.82347584,1.43055725,0.17047119,60.40625
0.98382568,1.35740661,0.18946838,60.40625
1.15741444,1.28041076,0.1494484,60.40625
1.30814266,1.20979309,0.21900177,60.40625
1.48924446,1.13052368,0.14767075,60.40625
0.59627152,1.50151062,0.16615296,60.40625
0.75912571,1.42752075,0.17679215,60.40625
0.92158604,1.3538208,0.18396759,60.40625
1.08782292,1.27883911,0.17984009,60.40625
1.25096321,1.20480346,0.18788147,60.40625
1.42125225,1.12850952,0.1689949,60.40625
0.53600216,1.49504089,0.15966797,60.40625
0.696455,1.42166137,0.18354797,60.40625
0.86650849,1.34599304,0.15054321,60.40625
1.02513886,1.27301025,0.18640137,60.40625
1.19329357,1.19764709,0.16886902,60.40625
1.366889,1.12046814,0.13352585,60.40625
1.52476692,1.04780578,0.17008591,60.40625
0.49345684,1.4777832,0.13047791,60.4375
0.64921188,1.40553283,0.18067551,60.4375
0.81699085,1.33042907,0.15920639,60.4375
0.98399258,1.25518798,0.151474,60.4375
1.15138722,1.17999267,0.13752747,60.4375
1.31080151,1.10670471,0.17085648,60.4375
1.47616387,1.03196716,0.17006683,60.4375
0.433218,1.46968078,0.17294693,60.4375
0.60032368,1.3946228,0.15933991,60.4375
0.76252651,1.32098388,0.16778183,60.4375
