X,Y,Z
2.408224,1.04899,0.122408
2.413174,1.049858999,0.086939
2.263097,0.988709,0.134318
2.266475,0.989267,0.109067
2.119368,0.928765,0.138901
2.122813,0.929295,0.111995
1.973287,0.868546,0.164378
1.976599,0.869014,0.137303
1.833811,0.809317,0.137556
1.835773,0.809568,0.120734
1.690717,0.749616,0.141436
1.693146,0.749888999,0.119537
1.549326,0.690159,0.131522
1.55022,0.690245,0.123025
1.407387,0.630666,0.127317
1.408738,0.630771,0.113743
1.263444,0.571148,0.147053
1.264887,0.57123,0.131681
1.123018,0.511882,0.130875
1.124361,0.511927,0.115645
0.980302,0.452529999,0.140413
0.981275,0.452537,0.128612
0.840402,0.393279,0.118185
0.840666,0.393273,0.114749
0.696465,0.334182,0.150257
0.696954,0.334153,0.143379
3.240789,1.450666,0.043866
3.089211,1.388449,0.078884
2.938959,1.326645,0.109627
2.946262,1.328192,0.064371
2.792764,1.265839,0.119385
2.799029,1.267117999,0.079118
2.648367,1.205484,0.120075
2.652407,1.206275,0.093107
2.502658,1.144939,0.131525
2.508213,1.145977,0.092964
2.361053,1.085163,0.114547
2.36524,1.085906,0.084264
2.215085,1.024658999,0.130446
2.219101,1.025328999,0.10014
2.071625,0.964663,0.1301
2.073981,0.965029,0.111514
1.929468,0.904972,0.122562
1.93172,0.905293,0.103965
1.783974,0.844874999,0.14471
1.786894,0.845252,0.119396
1.641598,0.785275999,0.142665
1.643999,0.78555,0.120764
1.500179,0.725806,0.132475
1.501946,0.725978,0.115479
1.35806,0.666323,0.13069
1.359217,0.666414,0.118907
1.214438,0.606796999,0.146421
1.215848,0.606878,0.131197
1.073001,0.547514,0.142069
1.074622,0.547569,0.123404
0.931137,0.488163,0.141029
0.931962,0.488169,0.13087
0.78976,0.428858,0.135257
0.790268,0.428846,0.128532
0.647836,0.369690999,0.140453
0.647836,0.369690999,0.140453
3.044613,1.431724,0.08301
2.89429,1.369903,0.115546
2.899388,1.371,0.083742
2.7476,1.308971,0.128692
2.753571,1.310211,0.090047
2.60731,1.249433,0.102404
2.613306,1.250628,0.062093
2.459485,1.188438999,0.128212
2.464299,1.189356,0.09454
2.315323,1.128242,0.131435
2.320172,1.129118999,0.096102
2.172417,1.068351,0.127918
2.176402,1.06903,0.097608
2.02975,1.008533,0.123571
2.033154,1.009075,0.096509
1.884458,0.948395,0.143105
1.887691,0.948869999,0.11617
1.740905,0.888555,0.149455
1.743987,0.888966,0.122502
1.599152,0.829058,0.143232
1.601175,0.829297,0.124605
1.456985,0.769584999,0.143032
1.459072,0.769796,0.122754
1.315076,0.710167,0.14124
1.31673,0.710303999,0.124233
1.172927,0.650743,0.142324
1.174321,0.650828999,0.127098
1.030762,0.591415999,0.146605
1.032071,0.591466,0.131372
0.88946,0.532188999,0.142873
0.890275,0.532198,0.132713
0.7487,0.47297,0.132454
0.749324,0.472957999,0.124083
0.60746,0.413736,0.127747
0.608037,0.413703999,0.119373
3.161357,1.541178999,0.063439
3.007513,1.47843,0.115276
3.013628,1.479812,0.078331
2.866126,1.418564,0.093923
2.871206,1.419677,0.062117
2.718608,1.357396,0.112298
2.724056,1.358549,0.076907
2.573118,1.296767,0.120883
2.578345,1.29783,0.085609
2.42726,1.236148,0.134612
2.433007,1.237267,0.094263
2.287855,1.176802,0.103598
2.292461,1.177656,0.069897
2.140689,1.116067,0.130858
2.144657,1.116761,0.100546
1.997244,1.056077,0.132654
1.99998,1.056524999,0.110796
1.853014,0.996027,0.142858
1.856037,0.996485,0.117558
1.711771,0.936503,0.130366
1.714651,0.936900999,0.10505
1.569738,0.876873,0.124916
1.571928,0.877143,0.104648
1.424444,0.816946,0.152922
1.427221,0.817242,0.125784
1.283644,0.757545,0.13849
1.284798,0.757646,0.126555
1.142317,0.698119,0.13022
1.143078,0.698171,0.12186
1.000784,0.638685,0.124379
1.001943,0.638736,0.110789
0.85872,0.579226,0.124702
0.859267,0.579235,0.117828
0.717191,0.519858,0.120897
0.717567,0.519853,0.115814
0.574819,0.460539999,0.129693
0.575288,0.460516,0.122814
3.133989,1.595982,0.058104
2.981403,1.533453,0.103335
2.987502,1.534864,0.066386
2.838058,1.473162,0.095795
2.842347,1.474125,0.06887
2.690998,1.412097,0.113499
2.695636,1.413104,0.083291
2.545254,1.35137,0.124331
2.549722,1.352305,0.094095
2.399795,1.290804,0.136465
2.404345,1.291717,0.104422
2.2572,1.230894,0.131042
2.262259,1.231862,0.093924
2.114179,1.170945,0.130142
2.117923,1.171624,0.101462
1.970963,1.111023,0.132732
1.974545,1.111634,0.104032
1.826184,1.050887,0.149516
1.829995,1.051491,0.117521
1.68519,0.991435,0.137209
1.687302,0.991742,0.118595
1.544046,0.931967,0.126433
1.544961,0.932087,0.117938
1.400439,0.872237,0.140451
1.401474,0.872355999,0.130311
1.258334,0.812777,0.142909
1.260117,0.81295,0.124408
1.117475,0.753377,0.130465
1.118395,0.753448,0.120314
0.974644,0.693848,0.140458
0.97637,0.69394,0.120146
0.833525,0.634537,0.134386
0.833928,0.634548,0.129306
0.691864,0.575265,0.136878
0.692107,0.575263999,0.133591
0.550265,0.516057,0.140613
0.550499,0.516048,0.137174
3.106762,1.650246,0.078963
2.960706,1.589179,0.0829
2.810175,1.527184,0.118345
2.816855,1.528719,0.07633
2.666852,1.466895,0.110091
2.672524,1.468157,0.073071
2.520536,1.406033,0.124469
2.525759,1.407156,0.089046
2.375636,1.345563,0.13214
2.380156,1.346497,0.100244
2.23342,1.285652,0.121017
2.23776,1.286509,0.089093
2.086845,1.225005,0.146096
2.090811,1.22575,0.115635
1.943599,1.165062,0.148231
1.946117,1.165508,0.128006
1.802236,1.105435,0.134634
1.805648,1.105998999,0.105911
1.658458,1.045483,0.143884
1.66132,1.045919,0.118567
1.516984,0.985929,0.134282
1.519159,0.98623,0.114015
1.372398,0.926039,0.156796
1.37411,0.926249,0.139947
1.230596,0.866545,0.153721
1.232056,0.866698,0.138502
1.089419,0.807124,0.144419
1.090632,0.807227,0.130984
0.948394,0.747778,0.135472
0.948962,0.747812999,0.12875
0.806484,0.688413,0.13822
0.807026,0.688433,0.131346
0.6646,0.629110999,0.142661
0.664852,0.629113,0.139222
0.523565,0.569881,0.13773
0.52403,0.569869,0.130851
3.095233,1.70992,0.066527
2.946392,1.648148,0.08845
2.950804,1.649216,0.061702
2.797764,1.586495,0.111376
2.803367,1.587815,0.076168
2.653512,1.525968,0.110026
2.65919,1.527265999,0.073007
2.504447,1.464378,0.141331
2.509915,1.465586999,0.104279
2.362198,1.404402,0.130083
2.367206,1.405468,0.094777
2.217385,1.343952,0.139401
2.222194,1.344934,0.104065
2.074141,1.283863,0.138544
2.076775,1.284375,0.118335
1.930579,1.223724,0.140561
1.934359,1.224421,0.110225
1.787062,1.163739,0.147162
1.789273,1.164121,0.128559
1.645718,1.10417,0.136856
1.647825,1.104507999,0.11824
1.502453,1.044299,0.143718
1.505721,1.044778,0.113318
1.360946,0.984712,0.135133
1.362327,0.984893,0.121565
1.217996,0.925011,0.143316
1.219473,0.92518,0.12795
1.076052,0.865453999,0.141998
1.077577,0.865599,0.125131
0.934247,0.805939,0.140131
0.934968,0.805992,0.131619
0.793029,0.74651,0.132788
0.793561,0.746536,0.126062
0.650633,0.687113999,0.143432
0.650765,0.687117,0.141637
0.508736,0.627766999,0.148589
0.509536,0.627756,0.136775
3.077353,1.771559,0.079916
2.93051,1.710233,0.090256
2.933557,1.71099,0.071785
2.780343,1.648151,0.123178
2.784347,1.64912,0.098029
2.636816,1.587759,0.117321
2.643245,1.589273,0.075417
2.49101,1.526917,0.129353
2.497203,1.52833,0.08741
2.348299,1.46685,0.122808
2.353078,1.467903,0.089134
2.201769,1.406009,0.145578
2.206581,1.407029,0.110243
2.0602,1.346303999,0.134892
2.064154,1.347105999,0.104581
1.915733,1.285998,0.145932
1.919516,1.286727,0.115597
1.772421,1.226037,0.152024
1.775024,1.226509999,0.13015
1.630068,1.166294999,0.151631
1.632362,1.166684,0.131378
1.489343,1.106833,0.136979
1.491524,1.107174,0.116713
1.346868,1.047127,0.139665
1.347734,1.04725,0.131165
1.203157,0.987383,0.159286
1.204291,0.987525,0.1475
1.062275,0.928015999,0.150305
1.063492,0.928146,0.13687
0.921721,0.868682,0.137628
0.923154,0.868805,0.12075
0.779681,0.809301,0.145317
0.780214,0.809334,0.138592
0.638074,0.749998,0.149315
0.638448,0.750011,0.144233
0.497654,0.690753,0.137804
0.497999,0.690754,0.132719
2.92646,1.772873,0.044207
2.780155,1.711686,0.052623
2.633268,1.650402999,0.06646
2.636885,1.651277,0.042918
2.485172,1.588963,0.093049
2.489709,1.590027,0.062372
2.337575,1.52771,0.118853
2.343562,1.52907,0.076728
2.197639,1.46828,0.093737
2.202681,1.469384,0.056771
2.051739,1.407593,0.114124
2.056146,1.408519,0.080396
1.906603,1.347143,0.13148
1.909966,1.347818,0.104566
1.764514,1.287355999,0.126304
1.767939,1.288006,0.097584
1.621239,1.227382,0.132496
1.623911,1.227859,0.108968
1.479656,1.167786,0.126553
1.482211,1.168209,0.10286
1.337317,1.108107,0.129157
1.339039,1.108368,0.112307
1.196343,1.048663,0.119432
1.198128,1.048905,0.100933
1.055197,0.98921,0.111985
1.056282,0.989337,0.100043
0.911725,0.929576,0.133561
0.913175,0.929717,0.116535
0.771792,0.870326,0.115006
0.772196,0.870356,0.109925
0.630247,0.810924,0.115454
0.630865,0.810954,0.107083
0.48938,0.751608999,0.10802
0.489726,0.751614,0.102935
2.782817,1.780541,0.040676
2.629401,1.717538,0.096213
2.635364,1.719023,0.057577
2.485267,1.656936999,0.09504
2.491013,1.65833,0.056368
2.340067,1.596127,0.102846
2.345108,1.597312,0.067549
2.196744,1.535833,0.100377
2.200671,1.536726,0.071728
2.051627,1.475168,0.112375
2.056719,1.476283,0.073602
1.909117,1.415123,0.106328
1.912927,1.415922,0.075998
1.765948,1.355014999,0.108396
1.768767,1.355576999,0.084888
1.620656,1.294532,0.130025
1.624125,1.295186,0.09965
1.478909,1.234785,0.123142
1.480752,1.23511,0.106155
1.337106,1.175055,0.117798
1.339359,1.175422,0.095883
1.192478,1.114933,0.142491
1.19494,1.115297,0.11713
1.052924,1.055641999,0.118022
1.053388,1.055703,0.112947
0.910249,0.99591,0.126417
0.911261,0.996023,0.114618
0.767544,0.936242,0.137706
0.768896,0.936362999,0.120821
0.627923,0.876886,0.111837
0.628802,0.876941999,0.100029
0.484806,0.817364,0.135198
0.485156,0.817377,0.130114
2.877144,1.891433,0.387546
2.591618,1.771414,0.385901
2.643244,1.784593,0.053478
2.449972,1.711747,0.38008
2.496961,1.723441,0.065859
2.303242,1.650872,0.410492
2.351599,1.662572999,0.074189
2.162912,1.591632999,0.39979
2.208929,1.602425,0.066458
2.021024,1.532053,0.401306
2.063811,1.541741,0.077944
1.878718,1.472456,0.408998
1.916923,1.48077,0.107229
1.739693,1.413599,0.391757
1.776202,1.421193,0.089762
1.599229,1.354431,0.385995
1.632085,1.360917999,0.100753
1.456767,1.294923,0.399644
1.489128,1.300934,0.104077
1.316615,1.235928,0.395483
1.346449,1.241084999,0.108074
1.177164,1.177056,0.384643
1.205045,1.181475,0.100489
1.031399,1.117257,0.44098
1.060496,1.121398,0.126218
0.918358,1.061762,0.12963
0.92012,1.061981,0.109322
0.777145,1.002355,0.126842
0.778236,1.002468,0.113396
0.636066,0.942975,0.122894
0.636326,0.942996,0.119457
0.494685,0.8836,0.124068
0.495395,0.883637,0.1139
0.353092,0.82431,0.132023
0.353418,0.824317,0.126937
3.032896,2.018796,0.411063
2.889771,1.958596,0.409931
2.939075,1.972032,0.116808
2.745874,1.898239,0.415544
2.796245,1.911699,0.105414
2.600245,1.837472999,0.433965
2.614175,1.841116,0.345035
2.461543,1.778565,0.409999
2.47446,1.781863,0.32439
2.3178,1.718416,0.42136
2.329268,1.721268999,0.342344
2.175336,1.658634,0.425827
2.220133,1.669461,0.10444
2.032982,1.598933,0.431705
2.045129,1.601775,0.340822
1.892804,1.53979,0.423243
1.931401,1.548497,0.121538
1.749244,1.479919,0.442626
1.787164,1.488125999,0.13236
1.609697,1.420961,0.430981
1.644501,1.428144,0.132245
1.470394,1.362056999,0.41743
1.502957,1.368416,0.123551
